title	type	url_slug	venue	date	location	talk_url	description
Strongly Eventually Nonnegative Matrices	Talk	talk-1	Special Session on Matrices and Graphs, AMS Central Section Meeting	2010-04-11	Saint Paul, MN		
Potentially eventually positive and potentially eventually exponentially positive sign patterns	Talk	talk-2	Young Researchers Minisymposium on Combinatorial Matrix Theory, 17th ILAS Conference	2011-08-23	Braunschweig, Germany		
Positive semidefinite maximum nullity is equal to positive semidefinite zero forcing number for partial 2-trees	Talk	talk-3	Special Session on Matrices and Graphs, AMS Central Section Meeting	2011-10-14	Lincoln, NE		
Sign Patterns That Allow Strong Eventual Nonnegativity	Talk	talk-4	Minisymposium on Matrices and Graphs, 2012 SIAM Annual Meeting	2012-07-12	Minneapolis, MN		
Sign patterns that require eventual exponential nonnegativity	Talk	talk-5	Special Session on Generalizations of Nonnegative Matrices and Their Sign Patterns, AMS Central Section Meeting	2013-04-27	Ames, IA		
Sign patterns that require eventual exponential nonnegativity	Talk	talk-6	Minisymposium on Sign Pattern Matrices, 18th ILAS Conference	2013-06-06	Providence, RI		
Upper triangular sign patterns that require eventual exponential nonnegativity	Talk	talk-7	Minisymposium on Combinatorial Matrix Theory, 20th ILAS Conference	2016-07-15	Leuven, Belgium		
Upper triangular sign patterns that require eventual exponential nonnegativity	Talk	talk-8	Special Session on Combinatorial Matrix Theory, AMS Central Section Meeting	2016-10-30	Minneapolis, MN		
Zero forcing and other games on graphs	Talk	talk-9	Mathematics & Statistics Department Colloquium, Carleton College	2018-04-17	Northfield, MN		
Restricted power domination	Talk	talk-10	Special Session on The Inverse Eigenvalue Problem of a Graph and Zero Forcing, 52nd Southeastern International Conference on Combinatorics, Graph Theory, and Computing	2021-03-09	Boca Raton, FL		
